product_name,gender,category,color,age_group,season,price,material,sales_count,average_rating,brand,discount
Biker Jacket,Male,Shirt,White,25-35,Spring,70.36,Synthetic,75,4.9,ZARA,20
Business Shirt,Male,Jacket,Beige,18-24,Summer,91.59,Wool,296,3.5,ZARA,0
Wool Jacket,Female,Dress,Brown,18-24,All,129.52,Wool,50,4.3,ZARA,5
Summer Dress,Male,Shorts,White,25-35,All,116.01,Cotton,435,4.6,ZARA,10
Casual Jeans,Male,Shirt,Beige,35-45,Winter,125.48,Viscose,79,3.6,ZARA,0
Business Shirt,Female,Shirt,Brown,35-45,Spring,23.9,Denim,332,4.7,ZARA,15
Casual Jeans,Female,Blouse,Beige,25-35,All,27.95,Denim,100,4.0,ZARA,10
Heels,Male,Shoes,Beige,25-35,Autumn,87.09,Viscose,333,3.2,ZARA,0
Beach Shirt,Female,Shirt,Brown,35-45,All,97.1,Denim,424,3.5,ZARA,10
Pattern Skirt,Female,Jeans,Brown,35-45,Summer,42.82,Synthetic,335,4.1,ZARA,0
Business Shirt,Female,Dress,Beige,25-35,All,85.52,Synthetic,304,3.7,ZARA,5
Blouse,Female,Jacket,White,18-24,Spring,36.11,Cotton,62,4.6,ZARA,0
Chino Shorts,Female,Jeans,Red,25-35,Autumn,112.16,Leather,352,4.4,ZARA,20
Pattern Skirt,Female,Jeans,Pink,18-24,Winter,91.96,Leather,461,4.0,ZARA,10
Blouse,Female,Shorts,Red,35-45,Spring,41.31,Denim,265,3.7,ZARA,10
Blouse,Female,Jeans,Pink,35-45,All,140.63,Synthetic,146,4.6,ZARA,10
Pattern Skirt,Male,Shorts,White,18-24,Winter,76.42,Synthetic,296,3.0,ZARA,5
Summer Dress,Male,Skirt,Pink,18-24,Summer,113.35,Cotton Blend,247,3.3,ZARA,5
Casual Jeans,Female,Shorts,Pink,18-24,Summer,90.37,Viscose,437,4.8,ZARA,15
Pattern Skirt,Female,Skirt,White,35-45,Spring,74.13,Synthetic,356,3.8,ZARA,0
Blouse,Male,Skirt,Pink,35-45,All,25.48,Cotton,451,3.6,ZARA,10
Blouse,Male,Jeans,White,18-24,Summer,147.52,Cotton,189,3.9,ZARA,15
Heels,Male,Shoes,White,25-35,Autumn,137.01,Synthetic,426,4.2,ZARA,15
Pattern Skirt,Male,Shoes,Beige,18-24,Summer,87.58,Wool,377,4.8,ZARA,5
Blouse,Female,Dress,Beige,25-35,Winter,67.56,Cotton Blend,198,3.8,ZARA,20
Casual Jeans,Male,Shorts,White,18-24,Summer,71.04,Leather,405,3.2,ZARA,15
Summer Dress,Male,Jeans,White,35-45,Autumn,67.63,Viscose,177,4.6,ZARA,20
Business Shirt,Male,Shorts,Brown,35-45,Autumn,141.71,Viscose,234,4.1,ZARA,15
Summer Dress,Female,Skirt,Beige,18-24,All,57.57,Synthetic,78,3.2,ZARA,10
Casual Jeans,Male,Dress,Brown,35-45,Summer,73.83,Leather,244,3.9,ZARA,10
Blouse,Male,Shorts,Beige,35-45,Winter,62.27,Synthetic,381,4.0,ZARA,5
Biker Jacket,Female,Shirt,Beige,18-24,All,60.63,Leather,142,4.5,ZARA,15
Beach Shirt,Male,Blouse,Brown,35-45,All,95.85,Cotton Blend,78,3.3,ZARA,0
Blouse,Male,Skirt,Brown,18-24,Autumn,115.58,Wool,168,3.6,ZARA,5
Wool Jacket,Male,Skirt,Brown,25-35,Autumn,27.99,Wool,87,4.3,ZARA,15
Casual Jeans,Female,Jeans,Beige,35-45,Summer,51.7,Synthetic,123,3.1,ZARA,5
Pattern Skirt,Male,Dress,White,18-24,Spring,119.51,Viscose,466,4.7,ZARA,5
Beach Shirt,Male,Blouse,White,35-45,All,143.34,Cotton Blend,205,4.2,ZARA,20
Heels,Female,Shirt,Beige,18-24,Autumn,88.76,Denim,360,3.1,ZARA,0
Summer Dress,Male,Shorts,Brown,18-24,Summer,128.54,Leather,138,3.6,ZARA,0
Beach Shirt,Male,Shoes,Beige,25-35,Winter,37.19,Wool,160,4.0,ZARA,15
Biker Jacket,Male,Blouse,White,25-35,Winter,31.6,Leather,217,4.6,ZARA,10
Biker Jacket,Male,Jacket,Brown,35-45,Autumn,67.97,Denim,457,3.0,ZARA,10
Beach Shirt,Female,Jeans,Beige,25-35,Winter,131.65,Wool,424,4.4,ZARA,20
Blouse,Male,Jacket,White,35-45,Summer,60.66,Denim,453,3.4,ZARA,15
Heels,Male,Jacket,White,18-24,Autumn,129.26,Cotton,189,3.3,ZARA,10
Beach Shirt,Male,Dress,White,18-24,Winter,100.13,Wool,180,3.5,ZARA,0
Biker Jacket,Female,Blouse,Beige,25-35,Winter,141.05,Synthetic,54,4.2,ZARA,5
Chino Shorts,Male,Shorts,Brown,25-35,Spring,99.37,Denim,170,4.5,ZARA,10
Chino Shorts,Female,Blouse,Brown,35-45,Spring,54.62,Viscose,495,4.1,ZARA,15
Business Shirt,Female,Dress,Beige,18-24,Autumn,83.37,Wool,380,3.7,ZARA,0
Business Shirt,Male,Jacket,Beige,18-24,Summer,24.41,Wool,359,3.1,ZARA,10
Pattern Skirt,Female,Shirt,White,18-24,Autumn,29.66,Cotton,257,3.7,ZARA,5
Chino Shorts,Female,Jeans,Beige,35-45,Winter,69.76,Synthetic,484,4.1,ZARA,5
Beach Shirt,Female,Jacket,Beige,25-35,Winter,56.5,Synthetic,265,3.6,ZARA,20
Summer Dress,Male,Shorts,Yellow,25-35,Winter,105.41,Denim,479,4.9,ZARA,20
Pattern Skirt,Male,Skirt,White,25-35,Winter,101.63,Cotton Blend,357,3.1,ZARA,20
Beach Shirt,Male,Jacket,Sky Blue,18-24,Summer,43.44,Denim,304,4.7,ZARA,0
Casual Jeans,Female,Jacket,Yellow,25-35,Winter,72.4,Denim,149,4.6,ZARA,10
Biker Jacket,Male,Blouse,Sky Blue,25-35,Spring,129.2,Wool,373,3.4,ZARA,10
Blouse,Male,Shirt,Yellow,35-45,Autumn,141.73,Denim,148,4.4,ZARA,15
Biker Jacket,Male,Dress,Yellow,18-24,Winter,60.77,Denim,238,3.8,ZARA,15
Business Shirt,Female,Jacket,Yellow,35-45,All,149.66,Wool,463,3.8,ZARA,10
Heels,Male,Shirt,White,18-24,Autumn,63.33,Leather,381,4.6,ZARA,15
Pattern Skirt,Male,Shorts,Yellow,25-35,Summer,149.32,Leather,187,3.1,ZARA,0
Biker Jacket,Female,Blouse,Yellow,35-45,Spring,83.69,Viscose,123,3.7,ZARA,10
Casual Jeans,Female,Blouse,White,18-24,All,27.1,Viscose,492,4.7,ZARA,10
Business Shirt,Female,Skirt,White,35-45,Winter,142.69,Wool,79,3.4,ZARA,15
Biker Jacket,Male,Blouse,White,35-45,Winter,146.88,Denim,244,4.7,ZARA,0
Beach Shirt,Male,Dress,Beige,35-45,Winter,94.28,Denim,324,4.7,ZARA,15
Chino Shorts,Female,Jacket,Brown,25-35,Summer,31.7,Wool,132,4.2,ZARA,15
Summer Dress,Female,Jeans,White,25-35,Winter,86.74,Denim,326,3.6,ZARA,15
Chino Shorts,Male,Shirt,Beige,25-35,All,39.6,Synthetic,125,3.6,ZARA,5
Wool Jacket,Male,Shoes,Beige,35-45,Summer,71.08,Denim,165,3.5,ZARA,0
Biker Jacket,Male,Jacket,Brown,18-24,Winter,25.48,Denim,326,3.8,ZARA,15
Wool Jacket,Male,Shoes,Brown,35-45,Summer,46.26,Leather,161,3.4,ZARA,0
Casual Jeans,Male,Blouse,Beige,35-45,Spring,30.53,Cotton Blend,264,4.5,ZARA,20
Biker Jacket,Female,Shoes,White,25-35,All,51.07,Cotton,284,3.7,ZARA,15
Heels,Male,Skirt,White,35-45,Winter,85.57,Denim,147,3.3,ZARA,0
Summer Dress,Male,Skirt,Brown,18-24,Spring,118.82,Wool,301,3.3,ZARA,5
Wool Jacket,Female,Skirt,Beige,35-45,Spring,68.28,Cotton Blend,227,4.4,ZARA,5
Blouse,Female,Dress,Brown,25-35,All,28.41,Wool,91,4.4,ZARA,0
Summer Dress,Female,Shorts,White,35-45,Winter,98.59,Denim,268,3.2,ZARA,5
Blouse,Male,Blouse,White,35-45,Spring,76.86,Leather,323,4.7,ZARA,10
Blouse,Male,Shoes,Brown,25-35,All,104.73,Viscose,427,4.0,ZARA,5
Summer Dress,Female,Jeans,Brown,18-24,Summer,64.05,Denim,456,4.5,ZARA,10
Chino Shorts,Male,Shoes,Beige,25-35,All,114.92,Synthetic,200,3.4,ZARA,5
Summer Dress,Male,Blouse,Beige,35-45,Spring,77.11,Cotton,170,4.1,ZARA,15
Wool Jacket,Female,Blouse,Beige,25-35,Spring,102.63,Denim,420,3.7,ZARA,20
Heels,Male,Skirt,Brown,35-45,Winter,47.32,Leather,100,3.7,ZARA,10
Wool Jacket,Female,Shirt,Beige,25-35,Spring,49.04,Viscose,126,4.5,ZARA,10
Summer Dress,Male,Shirt,Brown,18-24,Spring,108.82,Cotton,107,4.8,ZARA,15
Business Shirt,Male,Blouse,Beige,18-24,Winter,108.97,Cotton Blend,176,4.2,ZARA,15
Casual Jeans,Male,Skirt,Brown,25-35,All,134.63,Denim,486,3.7,ZARA,10
Pattern Skirt,Female,Shoes,Beige,18-24,All,51.73,Cotton,86,3.1,ZARA,5
Wool Jacket,Female,Blouse,White,35-45,Winter,108.6,Cotton,288,3.9,ZARA,0
Biker Jacket,Male,Shirt,White,35-45,Winter,80.38,Synthetic,200,3.9,ZARA,5
Blouse,Female,Dress,Beige,18-24,Summer,149.88,Viscose,73,3.9,ZARA,5
Wool Jacket,Male,Jeans,Brown,18-24,Summer,47.18,Cotton Blend,225,4.1,ZARA,15
Casual Jeans,Female,Skirt,Orange,35-45,Summer,31.9,Viscose,418,3.5,ZARA,10
Heels,Male,Skirt,Orange,25-35,Summer,79.23,Synthetic,195,3.7,ZARA,0
Blouse,Female,Shoes,Orange,18-24,All,94.56,Synthetic,396,3.6,ZARA,20
Heels,Male,Dress,Orange,25-35,Summer,89.52,Cotton,388,3.7,ZARA,5
Wool Jacket,Female,Skirt,Black,35-45,All,65.11,Wool,184,3.4,ZARA,0
Beach Shirt,Female,Shorts,Black,35-45,Spring,70.36,Viscose,476,3.7,ZARA,20
Chino Shorts,Female,Jeans,Orange,18-24,All,92.35,Viscose,273,4.3,ZARA,5
Beach Shirt,Female,Shorts,Black,35-45,Summer,120.04,Cotton,354,3.0,ZARA,5
Beach Shirt,Male,Blouse,Black,18-24,All,37.23,Synthetic,462,3.8,ZARA,20
Business Shirt,Female,Shirt,Orange,25-35,Winter,76.22,Cotton,248,4.7,ZARA,10
Summer Dress,Female,Skirt,Black,25-35,Autumn,63.49,Viscose,96,4.1,ZARA,5
